Date,Symbol,Close,return_1d,return_lag_1,return_lag_2,sma_5_ratio,sma_10_ratio,volatility_5,volume_change,future_return,target
2020-01-15,AAPL,77.83499908447266,-0.004285519922216707,-0.013503277683875936,0.02136437073337283,0.9972836942415222,1.0174177275965512,0.01554662114848177,-0.2471732784042916,0.012526478905240834,1
2020-01-16,AAPL,78.80999755859375,0.012526478905240834,-0.004285519922216707,-0.013503277683875936,1.0061600294658128,1.0251740472785422,0.013708809407491382,-0.10739840359044517,0.011070996257037002,1
2020-01-17,AAPL,79.68250274658203,0.011070996257037002,0.012526478905240834,-0.004285519922216707,1.0118734394486153,1.0293932843763944,0.014044084584461318,0.26635498561047943,-0.006776907061324833,0
2020-01-21,AAPL,79.14250183105469,-0.006776907061324833,0.011070996257037002,0.012526478905240834,1.0052649877269548,1.0169094317889398,0.011466503354785832,-0.19571836153026778,0.003569526034268966,1
2020-01-22,AAPL,79.42500305175781,0.003569526034268966,-0.006776907061324833,0.011070996257037002,1.0056470985001105,1.0142480380742682,0.008726995992339042,-0.08129321419807445,0.004815859995308536,1
2020-01-23,AAPL,79.80750274658203,0.004815859995308536,0.003569526034268966,-0.006776907061324833,1.0054678343652603,1.013940403616467,0.007652974913101782,0.025921023171407098,-0.002881976618964499,0
2020-01-24,AAPL,79.57749938964844,-0.002881976618964499,0.004815859995308536,0.003569526034268966,1.0006349722142576,1.0082385929061946,0.006955843667179563,0.40264951374530966,-0.029405250929448234,0
2020-01-27,AAPL,77.23750305175781,-0.029405250929448234,-0.002881976618964499,0.004815859995308536,0.9772198320235908,0.9790190164998255,0.013843752575518597,0.10510885943266435,0.02828933448469395,1
2020-01-28,AAPL,79.42250061035156,0.02828933448469395,-0.029405250929448234,-0.002881976618964499,1.0041532712086967,1.0064819832600773,0.020647911648285486,0.001815487217488032,0.020932336067801982,1
2020-01-29,AAPL,81.08499908447266,0.020932336067801982,0.02828933448469395,-0.029405250929448234,1.020887342778339,1.0237681657420525,0.022583185568469496,0.3328229594289729,-0.0014491004070108504,0
2020-01-30,AAPL,80.96749877929688,-0.0014491004070108504,0.020932336067801982,0.02828933448469395,1.016439009179007,1.018257362574448,0.02272424055506713,-0.41384789843369907,-0.04433873334381144,0
2020-01-31,AAPL,77.37750244140625,-0.04433873334381144,-0.0014491004070108504,0.020932336067801982,0.9767666649799777,0.974865363981636,0.03136972352934456,0.5747464163757898,-0.0027462960056099384,0
2020-02-03,AAPL,77.16500091552734,-0.0027462960056099384,-0.04433873334381144,-0.0014491004070108504,0.974262508080347,0.9752814496167119,0.028345722360907884,-0.1292660294886877,0.03301367951955725,1
2020-02-04,AAPL,79.7125015258789,0.03301367951955725,-0.0027462960056099384,-0.04433873334381144,1.0056900383343346,1.0067537958375778,0.029570988042757738,-0.21389229660897968,0.008154323518098083,1
2020-02-05,AAPL,80.36250305175781,0.008154323518098083,0.03301367951955725,-0.0027462960056099384,1.015742529264832,1.013762851417338,0.027933444878693668,-0.13021569884728335,0.011696932976394514,1
2020-02-06,AAPL,81.30249786376953,0.011696932976394514,0.008154323518098083,0.03301367951955725,1.0267541002358518,1.0236901723281946,0.028548197055969178,-0.11277927201607718,-0.015928147387491265,0
2020-02-07,AAPL,80.00749969482422,-0.015928147387491265,0.011696932976394514,0.008154323518098083,1.0037322679989293,1.006839562419702,0.018170472835947006,0.11627536385849346,0.0047495204183034545,1
2020-02-10,AAPL,80.38749694824219,0.0047495204183034545,-0.015928147387491265,0.011696932976394514,1.000410644474458,1.0076272810638283,0.01747804636935207,-0.07082696033445501,-0.006033284139495332,0
2020-02-11,AAPL,79.90249633789062,-0.006033284139495332,0.0047495204183034545,-0.015928147387491265,0.9939048736033015,1.000945753615963,0.01134220376721789,-0.137409829828951,0.023747777614394394,1
2020-02-12,AAPL,81.80000305175781,0.023747777614394394,-0.006033284139495332,0.0047495204183034545,1.0138820561403916,1.0237989823247005,0.015386296892003241,0.20575213733206676,-0.007121078859769314,0
2020-02-13,AAPL,81.21749877929688,-0.007121078859769314,0.023747777614394394,-0.006033284139495332,1.0068742772278154,1.0161904660991263,0.015225493029450057,-0.16691051820797254,0.0002463049559713326,1
2020-02-14,AAPL,81.23750305175781,0.0002463049559713326,-0.007121078859769314,0.023747777614394394,1.0040601591844618,1.0115553319131227,0.012500809502822598,-0.1544524610649769,-0.018310546187148335,0
2020-02-18,AAPL,79.75,-0.018310546187148335,0.0002463049559713326,-0.007121078859769314,0.9872309843092392,0.989847085316655,0.015614427150837874,0.9039364102973777,0.014482743314067292,1
2020-02-19,AAPL,80.90499877929688,0.014482743314067292,-0.018310546187148335,0.0002463049559713326,0.9990491473113954,1.0026986794579857,0.01677585969835639,-0.3838375361893174,-0.010258968463974338,0
2020-02-20,AAPL,80.07499694824219,-0.010258968463974338,0.014482743314067292,-0.018310546187148335,0.9930304628535329,0.9927657692190256,0.012381089855089443,0.07003319713993861,-0.02263503052234317,0
2020-02-21,AAPL,78.26249694824219,-0.02263503052234317,-0.010258968463974338,0.014482743314067292,0.9777190338517286,0.9739653394602312,0.014971517020045356,0.2882485134140764,-0.047500385551912494,0
2020-02-24,AAPL,74.54499816894531,-0.047500385551912494,-0.02263503052234317,-0.010258968463974338,0.9471143144320862,0.9340512941346879,0.022361955713757563,0.7150778825817805,-0.033872179058296537,0
2020-02-25,AAPL,72.0199966430664,-0.033872179058296537,-0.047500385551912494,-0.02263503052234317,0.93336701565888,0.9119745436369173,0.0236621526825995,0.038157439944697336,0.015863675150069367,1
2020-02-26,AAPL,73.1624984741211,0.015863675150069367,-0.033872179058296537,-0.047500385551912494,0.9675915643410443,0.9344167991264756,0.024167295467095694,-0.14140673228319145,-0.06536820530254006,0
